!
!Date: 08/02/2024
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene/Complex	Systematic Name/Complex Accession	Qualifier	Gene Ontology Term ID	Gene Ontology Term	Aspect	Annotation Extension	Evidence	Method	Source	Assigned On	Reference
RPS15	YOL040C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NOP12	YOL041C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
BRX1	YOL077C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA	computational	UniProt	2024-06-10	UniProt (2021)
BRX1	YOL077C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPS19A	YOL121C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NOP8	YOL144W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
UTP23	YOR004W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
TSR3	YOR006C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NOB1	YOR056C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
BUD21	YOR078W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPS7A	YOR096W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RIO1	YOR119C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
PNO1	YOR145C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
PNO1	YOR145C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA	computational	UniProt	2024-06-10	UniProt (2021)
NOC2	YOR206W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPB10	YOR210W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPB8	YOR224C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
PUS7	YOR243C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
YTM1	YOR272W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
YTM1	YOR272W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with IPR028599	computational	InterPro	2024-06-10	DDB, et al. (2001)
RRP36	YOR287C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RRS1	YOR294W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with IPR007023	computational	InterPro	2024-06-10	DDB, et al. (2001)
RRS1	YOR294W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NOP58	YOR310C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPA43	YOR340C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPA190	YOR341W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RRP12	YPL012W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NOP4	YPL043W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPS9A	YPL081W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPS6A	YPL090C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NOG1	YPL093W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NAN1	YPL126W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with IPR053826	computational	InterPro	2024-06-10	DDB, et al. (2001)
NAN1	YPL126W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NOP53	YPL146C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RSA1	YPL193W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NIP7	YPL211W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
BMS1	YPL217C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
BMS1	YPL217C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with IPR012948	computational	InterPro	2024-06-10	DDB, et al. (2001)
BMS1	YPL217C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with IPR039761	computational	InterPro	2024-06-10	DDB, et al. (2001)
RPL1A	YPL220W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA	computational	UniProt	2024-06-10	UniProt (2021)
DIM1	YPL266W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPA135	YPR010C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
TIF6	YPR016C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPC40	YPR110C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RRP9	YPR137W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RRP15	YPR143W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
NOC4	YPR144C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with IPR027193	computational	InterPro	2024-06-10	DDB, et al. (2001)
NOC4	YPR144C	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
RPO26	YPR187W	involved in	GO:0042254	ribosome biogenesis	biological process		IEA with KW-0690	computational	UniProt	2024-06-10	UniProt-GOA (2012)
